Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ,Abbreviation
ATLANTA HAWKS,NBA,1969,2020,52,4201,2068,2133,0.49200000000000005,33,5.0,0,0,ATL
ST. LOUIS HAWKS,NBA,1956,1968,13,1005,553,452,0.55,12,6.0,0,1,SLH
MILWAUKEE HAWKS,NBA,1952,1955,4,281,91,190,0.324,0,0.0,0,0,MLH
TRI-CITIES BLACKHAWKS,NBA,1950,1951,2,132,54,78,0.409,1,0.0,0,0,TCB
BOSTON CELTICS,NBA/BAA,1947,2020,74,5796,3426,2370,0.591,57,31.0,9,17,BOS
BROOKLYN NETS,NBA,2013,2020,8,646,277,369,0.429,5,0.0,0,0,BRK
NEW JERSEY NETS,NBA,1978,2012,35,2822,1186,1636,0.42,16,4.0,2,0,NJN
NEW YORK NETS,NBA,1977,1977,1,82,22,60,0.268,0,0.0,0,0,NYN
CHARLOTTE HORNETS (2014-PRESENT),NBA,2015,2020,6,475,215,260,0.45299999999999996,1,0.0,0,0,CHO
CHARLOTTE BOBCATS,NBA,2005,2014,10,804,293,511,0.364,2,0.0,0,0,CHA
CHARLOTTE HORNETS (1988-2004),NBA,1989,2002,14,1116,542,574,0.486,7,0.0,0,0,CHH
CHICAGO BULLS,NBA,1967,2020,54,4362,2227,2135,0.511,35,9.0,6,6,CHI
CLEVELAND CAVALIERS,NBA,1971,2020,50,4035,1867,2168,0.46299999999999997,22,7.0,5,1,CLE
DALLAS MAVERICKS,NBA,1981,2020,40,3225,1615,1610,0.501,22,3.0,2,1,DAL
DENVER NUGGETS,NBA,1977,2020,44,3551,1749,1802,0.493,26,9.0,0,0,DEN
DETROIT PISTONS,NBA,1958,2020,63,5061,2440,2621,0.48200000000000004,34,9.0,5,3,DET
FORT WAYNE PISTONS,NBA/BAA,1949,1957,9,619,313,306,0.506,8,2.0,0,0,FWP
GOLDEN STATE WARRIORS,NBA,1972,2020,49,3953,1899,2054,0.48,18,7.0,6,4,GSW
SAN FRANCISCO WARRIORS,NBA,1963,1971,9,729,330,399,0.45299999999999996,5,2.0,0,0,SFW
PHILADELPHIA WARRIORS,NBA/BAA,1947,1962,16,1103,558,545,0.506,12,3.0,0,2,PHW
HOUSTON ROCKETS,NBA,1972,2020,49,3960,2150,1810,0.5429999999999999,33,8.0,4,2,HOU
SAN DIEGO ROCKETS,NBA,1968,1971,4,328,119,209,0.363,1,0.0,0,0,SDR
INDIANA PACERS,NBA,1977,2020,44,3550,1789,1761,0.504,27,6.0,1,0,IND
LOS ANGELES CLIPPERS,NBA,1985,2020,36,2894,1214,1680,0.419,12,2.0,0,0,LAC
SAN DIEGO CLIPPERS,NBA,1979,1984,6,492,186,306,0.37799999999999995,0,0.0,0,0,SDC
BUFFALO BRAVES,NBA,1971,1978,8,656,259,397,0.395,3,0.0,0,0,BUF
LOS ANGELES LAKERS,NBA,1961,2020,60,4847,2928,1919,0.604,50,29.0,18,11,LAL
MINNEAPOLIS LAKERS,NBA/BAA,1949,1960,12,839,457,382,0.545,11,4.0,0,5,MNL
MEMPHIS GRIZZLIES,NBA,2002,2020,19,1533,725,808,0.473,10,0.0,0,0,MEM
VANCOUVER GRIZZLIES,NBA,1996,2001,6,460,101,359,0.22,0,0.0,0,0,VAN
MIAMI HEAT,NBA,1989,2020,32,2567,1338,1229,0.521,21,14.0,5,3,MIA
MILWAUKEE BUCKS,NBA,1969,2020,52,4207,2185,2022,0.519,32,15.0,2,1,MIL
MINNESOTA TIMBERWOLVES,NBA,1990,2020,31,2476,980,1496,0.396,9,1.0,0,0,MIN
NEW ORLEANS PELICANS,NBA,2014,2020,7,564,254,310,0.45,2,0.0,0,0,NOP
NO/OK. CITY HORNETS,NBA,2006,2007,2,164,77,87,0.47,0,0.0,0,0,NOK
NEW ORLEANS HORNETS,NBA,2003,2013,9,722,342,380,0.474,5,1.0,0,0,NOH
NEW YORK KNICKS,NBA/BAA,1947,2020,74,5787,2799,2988,0.484,42,8.0,4,2,NYK
OKLAHOMA CITY THUNDER,NBA,2009,2020,12,958,582,376,0.608,10,5.0,1,0,OKC
SEATTLE SUPERSONICS,NBA,1968,2008,41,3330,1745,1585,0.524,22,6.0,3,1,SEA
ORLANDO MAGIC,NBA,1990,2020,31,2485,1191,1294,0.479,16,6.0,2,0,ORL
PHILADELPHIA 76ERS,NBA,1964,2020,57,4610,2324,2286,0.504,36,8.0,5,2,PHI
SYRACUSE NATIONALS,NBA,1950,1963,14,1013,576,437,0.569,14,3.0,0,1,SYR
PHOENIX SUNS,NBA,1969,2020,52,4207,2220,1987,0.528,29,6.0,2,0,PHO
PORTLAND TRAIL BLAZERS,NBA,1971,2020,50,4044,2169,1875,0.536,36,6.0,3,1,POR
SACRAMENTO KINGS,NBA,1986,2020,35,2812,1187,1625,0.42200000000000004,10,2.0,0,0,SAC
KANSAS CITY KINGS (1975-1985),NBA,1976,1985,10,820,381,439,0.465,4,1.0,0,0,KCK
KANSAS CITY-OMAHA KINGS (1973-1975),NBA,1973,1975,3,246,113,133,0.45899999999999996,1,0.0,0,0,KCO
CINCINNATI ROYALS,NBA,1958,1972,15,1189,555,634,0.467,7,0.0,0,0,CIN
ROCHESTER ROYALS,NBA/BAA,1949,1957,9,620,357,263,0.5760000000000001,7,2.0,0,1,ROR
SAN ANTONIO SPURS,NBA,1977,2020,44,3549,2194,1355,0.618,39,22.0,6,5,SAS
TORONTO RAPTORS,NBA,1996,2020,25,1992,955,1037,0.479,12,7.0,1,1,TOR
UTAH JAZZ,NBA,1980,2020,41,3304,1847,1457,0.5589999999999999,29,9.0,2,0,UTA
NEW ORLEANS JAZZ,NBA,1975,1979,5,410,161,249,0.39299999999999996,0,0.0,0,0,NOJ
WASHINGTON WIZARDS,NBA,1998,2020,23,1828,775,1053,0.424,8,1.0,0,0,WAS
WASHINGTON BULLETS,NBA,1975,1997,23,1886,887,999,0.47,13,2.0,3,1,WSB
CAPITAL BULLETS,NBA,1974,1974,1,82,47,35,0.573,1,1.0,0,0,CAP
BALTIMORE BULLETS (1964-1973),NBA,1964,1973,10,813,401,412,0.493,7,4.0,1,0,BAL
ANDERSON PACKERS,NBA,1950,1950,1,64,37,27,0.578,1,0.0,0,0,AND
BALTIMORE BULLETS (1948-1955),NBA/BAA,1948,1955,8,450,158,292,0.35100000000000003,3,0.0,0,1,BLB
DENVER NUGGETS (1950-1950),NBA,1950,1950,1,62,11,51,0.177,0,0.0,0,0,DNN
INDIANAPOLIS OLYMPIANS,NBA,1950,1953,4,269,132,137,0.491,4,1.0,0,0,INO
SHEBOYGAN RED SKINS,NBA,1950,1950,1,62,22,40,0.355,1,0.0,0,0,SRS
ST. LOUIS BOMBERS,NBA/BAA,1947,1950,4,237,122,115,0.515,3,1.0,0,0,SLB
WASHINGTON CAPITOLS,NBA/BAA,1947,1951,5,271,157,114,0.579,4,2.0,0,0,WSC
WATERLOO HAWKS,NBA,1950,1950,1,62,19,43,0.306,0,0.0,0,0,WAT
