Year,Lg,Team,Player,College
2019,NBA,New Orleans Pelicans,Zion Williamson,Duke
2018,NBA,Phoenix Suns,Deandre Ayton,Arizona
2017,NBA,Philadelphia 76ers,Markelle Fultz,Washington
2016,NBA,Philadelphia 76ers,Ben Simmons,LSU
2015,NBA,Minnesota Timberwolves,Karl-Anthony Towns,Kentucky
2014,NBA,Cleveland Cavaliers,Andrew Wiggins,Kansas
2013,NBA,Cleveland Cavaliers,Anthony Bennett,UNLV
2012,NBA,New Orleans Hornets,Anthony Davis,Kentucky
2011,NBA,Cleveland Cavaliers,Kyrie Irving,Duke
2010,NBA,Washington Wizards,John Wall,Kentucky
2009,NBA,Los Angeles Clippers,Blake Griffin,Oklahoma
2008,NBA,Chicago Bulls,Derrick Rose,Memphis
2007,NBA,Portland Trail Blazers,Greg Oden,Ohio State
2006,NBA,Toronto Raptors,Andrea Bargnani,
2005,NBA,Milwaukee Bucks,Andrew Bogut,Utah
2004,NBA,Orlando Magic,Dwight Howard,
2003,NBA,Cleveland Cavaliers,LeBron James,
2002,NBA,Houston Rockets,Yao Ming,
2001,NBA,Washington Wizards,Kwame Brown,
2000,NBA,New Jersey Nets,Kenyon Martin,Cincinnati
1999,NBA,Chicago Bulls,Elton Brand,Duke
1998,NBA,Los Angeles Clippers,Michael Olowokandi,University of the Pacific
1997,NBA,San Antonio Spurs,Tim Duncan,Wake Forest
1996,NBA,Philadelphia 76ers,Allen Iverson,Georgetown
1995,NBA,Golden State Warriors,Joe Smith,Maryland
1994,NBA,Milwaukee Bucks,Glenn Robinson,Purdue
1993,NBA,Orlando Magic,Chris Webber,Michigan
1992,NBA,Orlando Magic,Shaquille O'Neal,LSU
1991,NBA,Charlotte Hornets,Larry Johnson,UNLV
1990,NBA,New Jersey Nets,Derrick Coleman,Syracuse
1989,NBA,Sacramento Kings,Pervis Ellison,Louisville
1988,NBA,Los Angeles Clippers,Danny Manning,Kansas
1987,NBA,San Antonio Spurs,David Robinson,United States Naval Academy
1986,NBA,Cleveland Cavaliers,Brad Daugherty,UNC
1985,NBA,New York Knicks,Patrick Ewing,Georgetown
1984,NBA,Houston Rockets,Hakeem Olajuwon,Houston
1983,NBA,Houston Rockets,Ralph Sampson,Virginia
1982,NBA,Los Angeles Lakers,James Worthy,UNC
1981,NBA,Dallas Mavericks,Mark Aguirre,DePaul
1980,NBA,Golden State Warriors,Joe Barry Carroll,Purdue
1979,NBA,Los Angeles Lakers,Magic Johnson,Michigan State
1978,NBA,Portland Trail Blazers,Mychal Thompson,Minnesota
1977,NBA,Milwaukee Bucks,Kent Benson,Indiana
1976,NBA,Houston Rockets,John Lucas,Maryland
1975,NBA,Atlanta Hawks,David Thompson,NC State
1974,NBA,Portland Trail Blazers,Bill Walton,UCLA
1973,NBA,Philadelphia 76ers,Doug Collins,Illinois State
1972,NBA,Portland Trail Blazers,LaRue Martin,Loyola Chicago
1971,NBA,Cleveland Cavaliers,Austin Carr,Notre Dame
1970,NBA,Detroit Pistons,Bob Lanier,St. Bonaventure
1969,NBA,Milwaukee Bucks,Kareem Abdul-Jabbar,UCLA
1968,NBA,San Diego Rockets,Elvin Hayes,Houston
1967,NBA,Detroit Pistons,Jimmy Walker,Providence
1966,NBA,New York Knicks,Cazzie Russell,Michigan
1965,NBA,San Francisco Warriors,Fred Hetzel,Davidson
1964,NBA,New York Knicks,Jim Barnes,Texas-El Paso
1963,NBA,New York Knicks,Art Heyman,Duke
1962,NBA,Chicago Zephyrs,Bill McGill,Utah
1961,NBA,Chicago Packers,Walt Bellamy,Indiana
1960,NBA,Cincinnati Royals,Oscar Robertson,Cincinnati
1959,NBA,Cincinnati Royals,Bob Boozer,Kansas State
1958,NBA,Minneapolis Lakers,Elgin Baylor,Seattle University
1957,NBA,Cincinnati Royals,Hot Rod Hundley,West Virginia
1956,NBA,Rochester Royals,Si Green,Duquesne
1955,NBA,St. Louis Hawks,Dick Ricketts,Duquesne
1954,NBA,Baltimore Bullets,Frank Selvy,Furman University
1953,NBA,Baltimore Bullets,Ray Felix,Long Island University
1952,NBA,Milwaukee Hawks,Mark Workman,West Virginia
1951,NBA,Baltimore Bullets,Gene Melchiorre,Bradley
1950,NBA,Boston Celtics,Chuck Share,Bowling Green
1949,BAA,Providence Steamrollers,Howie Shannon,Kansas State
1948,BAA,Providence Steamrollers,Andy Tonkovich,Marshall
1947,BAA,Pittsburgh Ironmen,Clifton McNeeley,Texas-El Paso
